dataset_id	status	primary_values	primary_sample_bytes	primary_sample_rows	median_primary_sample_value_count	median_primary_sample_size_bytes	auxiliary_values	auxiliary_sample_bytes	auxiliary_sample_rows	has_index	inferred_auxiliary_series	failure_reasons
modelnet10_off_mesh_vertices_f32	ok	139741776	558967104	4899	8472	33888	0	0	0	1	none	none
dwd_radolan_rw_precip_i16	ok	155520000	311040000	192	810000	1620000	0	0	0	1	none	none
google_books_1gram_counts_2020_eng_u64	ok	158333331	949999986	3	52777777	422222216	0	0	0	1	none	none
citibike_2024_trip_geocoords_f64	ok	176663392	1413307136	200	995688.5	7965508	0	0	0	1	none	none
cifar10_pixels_u8	ok	184320000	184320000	180000	1024	1024	0	0	0	1	none	none
coco_panoptic_val2017_labels_u8	ok	210959332	527398330	768	273280	408960	0	0	0	1	none	none
tcia_nsclc_radiomics_ct_i16	ok	244580352	489160704	933	262144	524288	0	0	0	1	none	none
medmnist_pathmnist_images_u8	ok	252087360	252087360	107180	2352	2352	0	0	0	1	none	none
nsynth_test_notes_i16	ok	262144000	524288000	4096	64000	128000	0	0	0	1	none	none
sentinel2_l2a_reflectance_cogs_u16	ok	308098800	616197600	6	30140100	60280200	0	0	0	1	none	none
librispeech_dev_clean_i16	ok	310337932	620675864	2703	94720	189440	0	0	0	1	none	none
sentinel1_grd_measurement_u16	ok	365856036	731712072	4	91464009	182928018	0	0	0	1	none	none
bbbc021_microscopy_tiff_u16	ok	393216000	786432000	300	1310720	2621440	0	0	0	1	none	none
pfam_seed_alignments_u8	ok	411242401	411242401	22719	6150	6150	0	0	0	1	none	none
esc50_environmental_audio_i16	ok	441000000	882000000	2000	220500	441000	0	0	0	1	none	none
ncbi_refseq_viral_genomes_u8	ok	577707132	577707132	19433	6864	6864	0	0	0	1	none	none
nasa_pds_themis_ir_mosaic_u8	ok	948687484	948687484	2	474343742	474343742	0	0	0	1	none	none
bbbc038_nuclei_masks_u8	ok	949747588	949747588	3468	129600	129600	0	0	0	1	none	none
