selection_ordinal	filename	url	x_offset	y_offset	source_x_size	source_y_size	source_data_type	decoded_bytes	source_bytes	sha256
11	tileSG-002-045_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-045/tileSG-002-045_3-1.tif	80649	3541	450	450	Int16	405000	406513	a84b1feb3ec579f4f4f22ed2882ed8ee65482f43c2ee497510341bf049bc600d
12	tileSG-002-051_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-051/tileSG-002-051_3-1.tif	91449	3541	450	450	Int16	405000	406513	0d83a0f4c72848c084361b950c0d731247ef82da6819a33420c101e338fbb23b
13	tileSG-002-066_3-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-066/tileSG-002-066_3-1.tif	118449	3541	450	450	Int16	405000	406513	95ec66111f04b7caaff6dd7967f9d77e936a7c33643fab89e7b10bd4ec390da9
14	tileSG-002-013_4-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-013/tileSG-002-013_4-2.tif	23499	3991	450	450	Int16	405000	406513	0d4ac8bbcef583d281ef3976c9550a298adb0658486b689ac6f2993bc5d4abeb
15	tileSG-002-058_4-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-058/tileSG-002-058_4-1.tif	104049	3991	450	450	Int16	405000	406513	5b050806e1a6000fbd79e54c414cd0747f475ffaf79d822c3f2603324033fab0
16	tileSG-002-069_4-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-002-069/tileSG-002-069_4-2.tif	124299	3991	450	450	Int16	405000	406513	9ad645885e1efe845182ceef7a2c37c9e2adec22bc8ce439cbeb989be55ff923
17	tileSG-003-010_1-1.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-010/tileSG-003-010_1-1.tif	17649	4441	450	450	Int16	405000	406513	6098e4f520b96f0824527f0cbb69b24ffa3563a9bc31d95cbf509195b51460ee
18	tileSG-003-023_1-2.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-023/tileSG-003-023_1-2.tif	41499	4441	450	450	Int16	405000	406513	4e6bd472d5ca87f892985afa4c804ea0bdec1e6ccb55abde190401b65cccc080
19	tileSG-003-060_1-4.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-060/tileSG-003-060_1-4.tif	108999	4441	450	450	Int16	405000	406513	984957ea32a54315363ef9a369898d56b50c41767a923b404975da96d7fc1fbe
20	tileSG-003-063_2-3.tif	https://files.isric.org/soilgrids/latest/data/clay/clay_0-5cm_mean/tileSG-003-063/tileSG-003-063_2-3.tif	113949	4891	450	450	Int16	405000	406513	3dabf8e93ed17b45d9bad13524f9f4ae3e722340da5171d64fe95fbddb5a3661
